Node1,Relationship,Node2
9E003.c.2,ChildOf_or,9E003.c.2.b
9E003.c.2,ChildOf_or,9E003.c.2.c
9E003,ChildOf,9E003.d
9E003,ChildOf,9E003.e
9E003.e,ChildOf,9E003.e.1
9E003.e,ChildOf_and,9E003.e.2
9E003.e,ChildOf_and,9E003.e.3
9E003,ChildOf,9E003.f
9E003.f,ChildOf,9E003.f.1
9E003.f.1,ChildOf,9E003.f.1.a
9E003.f.1,ChildOf,9E003.f.1.b
9E003.f.1,ChildOf_and,9E003.f.1.c
9E003.f.1,ChildOf_and,9E003.f.1.d
9E003.f,ChildOf,9E003.f.2
9E003.f.2,ChildOf,9E003.f.2.a
9E003.f.2,ChildOf_and,9E003.f.2.b
9E003.f.2,ChildOf_and,9E003.f.2.c
9E003.f,ChildOf,9E003.f.3
9E003.f.3,ChildOf_and,9E003.f.3.a
9E003.f.3,ChildOf_and,9E003.f.3.b
9E003,ChildOf,9E003.g
9E003,ChildOf,9E003.h
9E003.h,ChildOf,9E003.h.1
9E003.h,ChildOf,9E003.h.2
9E003.h,ChildOf,9E003.h.3
9E003,ChildOf,9E003.i
9E003.i,ChildOf,9E003.i.1
9E003.i,ChildOf,9E003.i.2
9E003.i,ChildOf,9E003.i.3
9E003,ChildOf,9E003.j
9E003,ChildOf,9E003.k
9E003.k,ChildOf,9E003.k.1
9E003.k,ChildOf,9E003.k.2
9E003.k,ChildOf,9E003.k.3
9E003.k,ChildOf,9E003.k.4
9E003.k,ChildOf_or,9E003.k.5
9E003.k,ChildOf_or,9E003.k.6
9E003,ChildOf,9E003.l
9E,ChildOf,9E018
9E,ChildOf,9E101
9E,ChildOf,9E102
9E,ChildOf,9E515
9E515,ChildOf,9E515.a
9E515,ChildOf,9E515.b
9E515,ChildOf,9E515.c
9E515,ChildOf,9E515.d
9E515,ChildOf,9E515.e
9E515,ChildOf,9E515.f
9E515,ChildOf,9E515.g
9E515,ChildOf,9E515.h
9E515,ChildOf,9E515.i
9E515,ChildOf,9E515.j
9E515,ChildOf,9E515.k
9E515,ChildOf,9E515.l
9E515,ChildOf,9E515.m
9E515,ChildOf,9E515.n
9E515,ChildOf,9E515.o
9E515,ChildOf,9E515.p
9E515,ChildOf,9E515.q
9E515,ChildOf,9E515.r
9E515,ChildOf,9E515.s
9E515,ChildOf,9E515.t
9E515,ChildOf,9E515.u
9E515,ChildOf,9E515.v
9E515,ChildOf,9E515.w
9E515,ChildOf,9E515.x
9E515,ChildOf,9E515.y
9E,ChildOf,9E604
9E604,ChildOf,9E604.a
9E604,ChildOf,9E604.b
9E,ChildOf,9E610
9E610,ChildOf,9E610.a
9E610,ChildOf,9E610.b
9E610.b,ChildOf,9E610.b.1
9E610.b,ChildOf,9E610.b.2
9E610.b,ChildOf,9E610.b.3
9E610.b,ChildOf,9E610.b.4
9E610.b,ChildOf,9E610.b.5
9E610.b,ChildOf,9E610.b.6
9E610.b,ChildOf,9E610.b.7
9E610.b,ChildOf,9E610.b.8
9E610.b,ChildOf,9E610.b.9
9E610.b,ChildOf,9E610.b.10
9E610.b,ChildOf,9E610.b.11
9E610.b,ChildOf,9E610.b.12
9E610.b,ChildOf,9E610.b.13
9E610.b,ChildOf_or,9E610.b.14
9E610.b,ChildOf_or,9E610.b.15
9E610,ChildOf,9E610.c
9E610,ChildOf,9E610.d
9E610,ChildOf,9E610.e
9E610,ChildOf,9E610.f
9E610,ChildOf,9E610.g
9E610,ChildOf,9E610.h
9E610,ChildOf,9E610.i
9E610,ChildOf,9E610.j
9E610,ChildOf,9E610.k
9E610,ChildOf,9E610.l
9E610,ChildOf,9E610.m
9E610,ChildOf,9E610.n
9E610,ChildOf,9E610.o
9E610,ChildOf,9E610.p
9E610,ChildOf,9E610.q
9E610,ChildOf,9E610.r
9E610,ChildOf,9E610.s
9E610,ChildOf,9E610.t
9E610,ChildOf,9E610.u
9E610,ChildOf,9E610.v
9E610,ChildOf,9E610.w
9E610,ChildOf,9E610.x
9E610,ChildOf,9E610.y
9E,ChildOf,9E619
9E619,ChildOf,9E619.a
9E619,ChildOf,9E619.b
9E619.b,ChildOf,9E619.b.1
9E619.b,ChildOf,9E619.b.2
9E619.b,ChildOf,9E619.b.3
9E619.b,ChildOf,9E619.b.4
9E619.b,ChildOf,9E619.b.5
9E619.b,ChildOf,9E619.b.6
9E619.b,ChildOf,9E619.b.7
9E619.b,ChildOf,9E619.b.8
9E619.b,ChildOf_or,9E619.b.9
9E619.b,ChildOf_or,9E619.b.10
9E619,ChildOf,9E619.c
9E619.c,ChildOf,9E619.c.1
9E619.c,ChildOf,9E619.c.2
9E619.c,ChildOf,9E619.c.3
9E619.c,ChildOf,9E619.c.4
9E619.c,ChildOf,9E619.c.5
9E619.c,ChildOf_or,9E619.c.6
9E619.c,ChildOf_or,9E619.c.7
9E619,ChildOf,9E619.d
9E619,ChildOf,9E619.e
9E619,ChildOf,9E619.f
9E619,ChildOf,9E619.g
9E619,ChildOf,9E619.h
9E619,ChildOf,9E619.i
9E619,ChildOf,9E619.j
9E619,ChildOf,9E619.k
9E619,ChildOf,9E619.l
9E619,ChildOf,9E619.m
9E619,ChildOf,9E619.n
9E619,ChildOf,9E619.o
9E619,ChildOf,9E619.p
9E619,ChildOf,9E619.q
9E619,ChildOf,9E619.r
9E619,ChildOf,9E619.s
9E619,ChildOf,9E619.t
9E619,ChildOf,9E619.u
9E619,ChildOf,9E619.v
9E619,ChildOf,9E619.w
9E619,ChildOf,9E619.x
9E619,ChildOf,9E619.y
9E,ChildOf,9E620
9E,ChildOf,9E990
9E,ChildOf,9E991
9A004.d,specifiedBy,3A001.b.1.a.4
9A004.d,specifiedBy,3A002.g
9A004.d,specifiedBy,5A001.a.1
9A004.d,specifiedBy,5A001.b.3
9A004.d,specifiedBy,5A002.c
9A004.d,specifiedBy,5A002.e
9A004.d,specifiedBy,6A002.a.1
9A004.d,specifiedBy,6A002.a.2
9A004.d,specifiedBy,6A002.b
9A004.d,specifiedBy,6A002.d
9A004.d,specifiedBy,6A003.b
9A004.d,specifiedBy,6A004.c
9A004.d,specifiedBy,6A004.e
9A004.d,specifiedBy,6A008.d
9A004.d,specifiedBy,6A008.e
9A004.d,specifiedBy,6A008.k
9A004.d,specifiedBy,6A008
9A004.d,specifiedBy,9A010.c
9A010.a.1,specifiedBy,1C010.e
9A010.a.1,specifiedBy,1C008
9A010.a.1,specifiedBy,1C009.b
9A010.a.2.a,specifiedBy,1C007
9A010.a.2.b,specifiedBy,1C010
9A010.a.2.c,specifiedBy,1C002.a
9A010.a.3,specifiedBy,1C007
9A010.b,specifiedBy,9A005
9A010.b,specifiedBy,9A009
9A010.b.1,specifiedBy,1C010.e
9A010.b.1,specifiedBy,1C008
9A010.b.1,specifiedBy,1C009.b
9A010.b.2.a,specifiedBy,1C007
9A010.b.2.b,specifiedBy,1C010
9A010.b.2.c,specifiedBy,1C002.a
9A010.b.3,specifiedBy,1C007
9B010,specifiedBy,9A012
9D003,specifiedBy,9E003.h
9D003,specifiedBy,9A001
9D003,specifiedBy,9A003
9D003,specifiedBy,9A101
9D003,specifiedBy,9A101.b
9D003,specifiedBy,9A106.d
9D003,specifiedBy,9B604
