L_ID,relationship,R_ID
9E610.a,used_for,146
9E610.b,used_for,147
9E610.d,used_for,148
9E610.f,range,149
9E610.g,used_for,150
9E619.b,used_for,151
9E619.b,used_for,152
9E619.b,used_for,153
9E619.b,used_for,154
9E619.b,used_for,155
9E619.b,used_for,156
9E619.b,used_for,157
9E619.b,used_for,158
9E619.b,used_for,159
9E619.b,used_for,160
9E620.a,temperature_range,161
9E620.a,range,162
9E620.a,temperature_range,163
9E620.a,thermal_conductivity_range,164
9E620.b,storage_capacity_range,165
9E620.b,thermal_insulation_range,166
9E620.c,magnetic_field_strength_range,167
9E620.c,temperature_range,168
9E620.d,temperature_range,169
9E620.d,sensitivity_range,170
9A515.a,wavelength_range,171
9A515.a,spectral_bands_range,172
9A515.a,aperture_range,173
9A515.a,wavelength_range,174
9A515.a,spectral_bands_range,175
9A515.a,range,176
9A515.a,wavelength_range,177
9A515.a,spectral_bands_range,178
9A515.a,spectral_bandwidth_range,179
9A515.a,range,180
9A515.a,wavelength_range,181
9A515.a,spectral_bands_range,182
9A515.a,spectral_bandwidth_range,183
9A515.a,range,184
XV.e,frequency_range,185
XV.e,frequency_range,186
XV.f,range,187
XV.g,range,188
XV.g,range,189
XV.h,range,190
XV.k,range,191
XV.m,load_range,192
XV.o,frequency_range,193
XV.p,range,194
XV.p,range,195
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
